<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19951103,000000,5.49421,5.49421,5.49421,5.49421,65605.980988454,0
CDR,D,19951106,000000,5.61501,5.61501,5.61501,5.61501,67272.591154572,0
CDR,D,19951107,000000,5.5965,5.5965,5.5965,5.5965,34154.739539731,0
CDR,D,19951108,000000,5.65216,5.65216,5.65216,5.65216,46281.507911533,0
CDR,D,19951109,000000,5.47559,5.47559,5.47559,5.47559,13696.97154985,0
CDR,D,19951110,000000,5.22462,5.22462,5.22462,5.22462,27184.719423461,0
CDR,D,19951113,000000,5.20608,5.20608,5.20608,5.20608,36511.582716186,0
CDR,D,19951114,000000,5.20608,5.20608,5.20608,5.20608,43330.838712813,0
CDR,D,19951115,000000,5.24324,5.24324,5.24324,5.24324,69717.63646905,0
CDR,D,19951116,000000,5.16885,5.16885,5.16885,5.16885,27591.885107122,0
CDR,D,19951117,000000,5.18737,5.18737,5.18737,5.18737,25078.124173488,0
CDR,D,19951120,000000,4.88988,4.88988,4.88988,4.88988,67135.159916259,0
CDR,D,19951121,000000,5.04804,5.04804,5.04804,5.04804,44368.752243958,0
CDR,D,19951122,000000,5.24324,5.24324,5.24324,5.24324,28423.651780797,0
CDR,D,19951123,000000,5.24324,5.24324,5.24324,5.24324,38911.501355396,0
CDR,D,19951124,000000,5.10372,5.10372,5.10372,5.10372,21641.317609388,0
